Date,Camp,SPX
2018-03-07,7396.65,2738.97
2018-03-08,7427.95,2786.57
2018-03-09,7560.81,2783.02
2018-03-12,7588.32,2765.31
2018-03-13,7511.01,2749.48
2018-03-14,7496.81,2747.33
2018-03-15,7481.74,2752.01
2018-03-16,7481.99,2712.92
2018-03-19,7344.24,2716.94
2018-03-20,7364.3,2711.93
2018-03-21,7345.29,2643.69
2018-03-22,7166.68,2588.26
2018-03-23,6992.67,2658.55
2018-03-26,7220.54,2612.62
2018-03-27,7008.81,2605
2018-03-28,6949.23,2640.87
2018-03-29,7063.44,2581.88
2018-04-02,6870.12,2614.45
2018-04-03,6941.28,2644.69
2018-04-04,7042.11,2662.84
2018-04-05,7076.55,2604.47
2018-04-06,6915.11,2613.16
2018-04-09,6950.34,2656.87
2018-04-10,7094.3,2642.19
2018-04-11,7069.03,2663.99
2018-04-12,7140.25,2656.3
2018-04-13,7106.65,2677.84
2018-04-16,7156.28,2706.39
2018-04-17,7281.1,2708.64
2018-04-18,7295.24,2693.13
2018-04-19,7238.06,2670.14
2018-04-20,7146.13,2670.29
2018-04-23,7128.6,2634.56
2018-04-24,7007.35,2639.4
2018-04-25,7003.74,2666.94
2018-04-26,7118.68,2669.91
2018-04-27,7119.8,2648.05
2018-04-30,7066.27,2654.8
2018-05-01,7130.7,2635.67
2018-05-02,7100.9,2629.73
2018-05-03,7088.15,2663.42
2018-05-04,7209.62,2672.63
2018-05-07,7265.21,2671.92
2018-05-08,7266.9,2697.79
2018-05-09,7339.91,2723.07
2018-05-10,7404.97,2727.72
2018-05-11,7402.88,2730.13
2018-05-14,7411.32,2711.45
2018-05-15,7351.63,2722.46
2018-05-16,7398.3,2720.13
2018-05-17,7382.47,2712.97
2018-05-18,7354.34,2733.01
2018-05-21,7394.04,2724.44
2018-05-22,7378.46,2733.29
2018-05-23,7425.96,2727.76
2018-05-24,7424.43,2721.33
2018-05-25,7433.85,2689.86
2018-05-29,7396.59,2724.01
2018-05-30,7462.45,2705.27
2018-05-31,7442.12,2734.62
2018-06-01,7554.33,2746.87
2018-06-04,7606.46,2748.8
2018-06-05,7637.86,2772.35
2018-06-06,7689.24,2770.37
2018-06-07,7635.07,2779.03
2018-06-08,7645.51,2782
2018-06-11,7659.93,2786.85
2018-06-12,7703.79,2775.63
2018-06-13,7695.7,2782.49
2018-06-14,7761.04,2779.66
2018-06-15,7746.38,2773.75
2018-06-18,7747.03,2762.59
2018-06-19,7725.59,2767.32
2018-06-20,7781.51,2749.76
2018-06-21,7712.95,2754.88
2018-06-22,7692.82,2717.07
2018-06-25,7532.01,2723.06
2018-06-26,7561.63,2699.63
2018-06-27,7445.08,2716.31
2018-06-28,7503.68,2718.37
2018-06-29,7510.3,2726.71
2018-07-02,7567.69,2713.22
2018-07-03,7502.67,2736.61
2018-07-05,7586.43,2759.82
2018-07-06,7688.39,2784.17
2018-07-09,7756.2,2793.84
2018-07-10,7759.2,2774.02
2018-07-11,7716.61,2798.29
2018-07-12,7823.92,2801.31
2018-07-13,7825.98,2798.43
2018-07-16,7805.72,2809.55
2018-07-17,7855.12,2815.62
2018-07-18,7854.44,2804.49
2018-07-19,7825.3,2801.83
2018-07-20,7820.2,2806.98
2018-07-23,7841.87,2820.4
2018-07-24,7840.77,2846.07
2018-07-25,7932.24,2837.44
2018-07-26,7852.18,2818.82
2018-07-27,7737.42,2802.6
2018-07-30,7630,2816.29
2018-07-31,7671.79,2813.36
2018-08-01,7707.29,2827.22
2018-08-02,7802.69,2840.35
2018-08-03,7812.01,2850.4
2018-08-06,7859.68,2858.45
2018-08-07,7883.66,2857.7
2018-08-08,7888.33,2853.58
2018-08-09,7891.78,2833.28
2018-08-10,7839.11,2821.93
2018-08-13,7819.71,2839.96
2018-08-14,7870.89,2818.37
2018-08-15,7774.12,2840.69
2018-08-16,7806.52,2850.13
2018-08-17,7816.33,2857.05
2018-08-20,7821.01,2862.96
2018-08-21,7859.17,2861.82
2018-08-22,7889.1,2856.98
2018-08-23,7878.46,2874.69
2018-08-24,7945.98,2896.74
2018-08-27,8017.9,2897.52
2018-08-28,8030.04,2914.04
2018-08-29,8109.69,2901.13
2018-08-30,8088.36,2901.52
2018-08-31,8109.54,2896.72
2018-09-04,8091.25,2888.6
2018-09-05,7995.17,2878.05
2018-09-06,7922.73,2871.68
2018-09-07,7902.54,2877.13
2018-09-10,7924.16,2887.89
2018-09-11,7972.47,2888.92
2018-09-12,7954.23,2904.18
2018-09-13,8013.71,2904.98
2018-09-14,8010.04,2888.8
2018-09-17,7895.79,2904.31
2018-09-18,7956.11,2907.95
2018-09-19,7950.04,2930.75
2018-09-20,8028.23,2929.67
2018-09-21,7986.96,2919.37
2018-09-24,7993.25,2915.56
2018-09-25,8007.47,2905.97
2018-09-26,7990.37,2914
2018-09-27,8041.97,2913.98
2018-09-28,8046.35,2924.59
2018-10-01,8037.3,2923.43
2018-10-02,7999.55,2925.51
2018-10-03,8025.09,2901.61
2018-10-04,7879.51,2885.57
2018-10-05,7788.45,2884.43
2018-10-08,7735.95,2880.34
2018-10-09,7738.02,2785.68
2018-10-10,7422.05,2728.37
2018-10-11,7329.06,2767.13
2018-10-12,7496.89,2750.79
2018-10-15,7430.74,2809.92
2018-10-16,7645.49,2809.21
2018-10-17,7642.7,2768.78
2018-10-18,7485.14,2767.78
2018-10-19,7449.03,2755.88
2018-10-22,7468.63,2740.69
2018-10-23,7437.54,2656.1
2018-10-24,7108.4,2705.57
2018-10-25,7318.34,2658.69
2018-10-26,7167.21,2641.25
