Date,DiffLast,DiffMean,CapAct1yrUSD,HashRate,Open,Close,Rate
2022-10-15,35610794164372.0,35610794164372.0,123748250593.0,269073772.4,19185.4375,19069.87493,3.63
2022-10-16,35610794164372.0,35610794164372.0,124874840726.0,254911993.9,19068.91406,19261.74979,3.67
2022-10-17,35610794164372.0,35610794164372.0,127154739822.0,265533327.8,19268.5625,19557.02181,3.74
2022-10-18,35610794164372.0,35610794164372.0,126442178957.0,251371549.2,19550.4668,19341.40755,3.72
2022-10-19,35610794164372.0,35610794164372.0,124981897451.0,267303548.8,19335.02734,19132.15443,3.77
2022-10-20,35610794164372.0,35610794164372.0,124148417549.0,256682214.9,19138.08594,19033.37602,3.81
2022-10-21,35610794164372.0,35610794164372.0,124896368973.0,276154659.2,19053.20313,19174.87635,3.86
2022-10-22,35610794164372.0,35610794164372.0,125113922035.0,240750215.3,19172.38086,19207.62851,3.88
2022-10-23,36835682546788.0,35666111704223.0,127061014546.0,274810664.8,19207.73438,19565.41232,3.83
2022-10-24,36835682546788.0,36835682546788.0,125645352701.0,249031191.6,19567.76953,19341.46021,3.88
2022-10-25,36835682546788.0,36835682546788.0,129811096969.0,223395628.2,19344.96484,20094.96112,3.67
2022-10-26,36835682546788.0,36835682546788.0,134369898610.0,283822315.6,20092.23633,20797.03083,3.62
2022-10-27,36835682546788.0,36835682546788.0,131077953002.0,247200081.0,20772.80273,20280.17513,3.76
2022-10-28,36835682546788.0,36835682546788.0,133129868562.0,291146763.0,20287.95703,20604.61385,3.88
2022-10-29,36835682546788.0,36835682546788.0,134364287551.0,261848975.9,20595.10352,20803.89992,3.83
2022-10-30,36835682546788.0,36835682546788.0,133039807265.0,247200081.0,20817.98242,20616.70338,3.88
2022-10-31,36835682546788.0,36835682546788.0,132203392443.0,316782326.4,20633.69531,20495.77344,3.93
2022-11-01,36835682546788.0,36835682546788.0,131947286626.0,263680086.4,20494.89844,20485.27344,3.91
2022-11-02,36835682546788.0,36835682546788.0,129681610858.0,223395628.2,20482.95898,20159.50391,3.97
2022-11-03,36835682546788.0,36835682546788.0,129975769452.0,300302321.0,20162.68945,20209.98828,4.0
2022-11-04,36835682546788.0,36835682546788.0,136416044323.0,236213409.9,20208.76953,21147.23047,4.02
2022-11-05,36835682546788.0,36835682546788.0,137247263204.0,276497868.1,21144.83203,21282.69141,4.01
2022-11-06,36835682546788.0,36835682546788.0,134836384474.0,250862304.8,21285.05664,20926.48633,4.14
2022-11-07,36762198818467.0,36764240033143.0,132790825409.0,263168681.0,20924.62109,20602.81641,4.24
2022-11-08,36762198818467.0,36762198818467.0,119664463051.0,297875785.7,20600.67188,18541.27148,4.21
2022-11-09,36762198818467.0,36762198818467.0,101978323605.0,272291362.9,18543.76172,15880.78027,4.25
2022-11-10,36762198818467.0,36762198818467.0,113613132271.0,268636445.0,15883.1582,17586.77148,4.1
2022-11-11,36762198818467.0,36762198818467.0,110017586310.0,244879482.4,17583.25195,17034.29297,4.04
2022-11-12,36762198818467.0,36762198818467.0,109397694840.0,305185621.6,17036.875,16799.18555,3.96
2022-11-13,36762198818467.0,36762198818467.0,103666525874.0,235742186.3,16799.72266,16353.36523,4.02
2022-11-14,36762198818467.0,36762198818467.0,105652585898.0,224777435.2,16352.02832,16618.19922,4.1
2022-11-15,36762198818467.0,36762198818467.0,107213591709.0,283256116.7,16617.48438,16884.61328,4.07
2022-11-16,36762198818467.0,36762198818467.0,106201688453.0,274118823.2,16884.3418,16669.43945,4.1
2022-11-17,36762198818467.0,36762198818467.0,106161431443.0,252189315.7,16670.42578,16687.51758,4.14
2022-11-18,36762198818467.0,36762198818467.0,107307558625.0,254016775.9,16687.91211,16697.77734,4.17
2022-11-19,36762198818467.0,36762198818467.0,107347025939.0,268636445.0,16696.2207,16711.54688,4.22
2022-11-20,36950494067222.0,36779890989491.0,104450379486.0,272422405.8,16712.91992,16291.83203,4.14
2022-11-21,36950494067222.0,36950494067222.0,101645268664.0,236949653.1,16291.22363,15787.28418,4.12
2022-11-22,36950494067222.0,36950494067222.0,104305114531.0,231439196.9,15782.30078,16189.76953,3.88
2022-11-23,36950494067222.0,36950494067222.0,107610124048.0,258991483.1,16195.58887,16610.70703,3.83
2022-11-24,36950494067222.0,36950494067222.0,107634782179.0,236949653.1,16611.63672,16604.46484,3.88
2022-11-25,36950494067222.0,36950494067222.0,107233765100.0,225928740.7,16602.26953,16521.8418,3.8
2022-11-26,36950494067222.0,36950494067222.0,106524711168.0,200213272.3,16521.57617,16464.28125,3.67
2022-11-27,36950494067222.0,36950494067222.0,106358586777.0,249807386.0,16463.88281,16444.62695,3.77
2022-11-28,36950494067222.0,36950494067222.0,104951250305.0,255317844.8,16440.22266,16217.32227,3.82
2022-11-29,36950494067222.0,36950494067222.0,106409039559.0,240623291.4,16217.63965,16444.98242,3.83
2022-11-30,36950494067222.0,36950494067222.0,111046099986.0,253481024.3,16445.47656,17168.56641,3.76
2022-12-01,36950494067222.0,36950494067222.0,109616747748.0,281033310.5,17168.00195,16967.13281,3.88
2022-12-02,36950494067222.0,36950494067222.0,110331575852.0,229602379.1,16968.68359,17088.66016,3.83
2022-12-03,36950494067222.0,36950494067222.0,109119408297.0,240623291.4,17090.09766,16908.23633,3.88
2022-12-04,36950494067222.0,36950494067222.0,110537709690.0,257154662.6,16908.16992,17130.48633,3.69
2022-12-05,36950494067222.0,36950494067222.0,109647429188.0,268175577.7,17128.89453,16974.82617,3.75
2022-12-06,34244331613176.0,34364605500023.0,110356457445.0,230616963.7,16975.23828,17089.50391,3.68
